Name,Age,Education,Children,Profession,Phone,Amount
Робинзон Маркашев,95,3,7,Моряк,72471946832,123000
Мангасар Круопис,93,3,5,Ботаник,78784932114,103000
Григорьяна Аболоношева,48,3,0,Мусоропроводчик,75760565461,139000
Рупертти Лосилкин,59,5,5,Дистрибутор,77669603646,130000
Кут Жежурин,34,4,2,Фотомодель,73614288639,135000
Аталескер Ковшарев,23,7,7,Писатель,79715586856,119000
Максимиан Пашевкин,60,8,6,Бизнес-консультант,75670209558,115000
Эмика Лисенкова,57,8,5,Диетолог,76007102005,124000
Алифат Грищаенко,64,0,4,Краснодеревщик,76187403048,113000
Крестьян Юхт,85,1,7,Египтолог,72712938192,138000
Евхросинья Каршинова,49,0,5,Часовщик,74696269949,127000
Алвара Щепегина,82,2,0,Гинеколог,77974611168,149000
Типпеш Мифаев,54,5,3,Терапевт,76066498951,121000
Абдиманом Сартуев,73,4,6,Невролог,79661245181,144000
Малец Богдюн,22,4,7,Искусствовед,74242981479,129000
Олдегар Купершинский,73,9,4,Дерматовенеролог,71583988290,142000
Алимирта Журбикова,98,5,5,Трейдер,77211892364,125000
Клетус Турлычкин,83,7,0,Водолаз,79008889604,113000
Микаел Ночевкин,36,0,3,Писатель,72252489140,102000
Маяк Сытенков,66,6,6,Бортпроводник,79527623196,105000
Еуфросения Светланина,33,3,0,Пожарный,71060941230,137000
Линкс Сыверин,54,8,5,Нейрохирург,73777177567,128000
Аютфи Зенсков,49,9,2,Биоинженер,75142809334,104000
Аллегроина Журинова,29,0,5,Изобретатель,75736747694,135000
Аддуй Зазевских,44,8,7,Инженер,78141450853,145000
Адел Грацинский,43,2,7,Анестезиолог,74946286591,134000
Илендор Баляшин,48,9,4,Ботаник,74748725866,138000
Абхишек Коптилович,94,1,6,Кровельщик,76036761468,148000
Мильянат Онипченко,71,1,6,Дегустатор,72640649683,147000
Чев Нежибовский,58,4,0,Вальцовщик стана горячей прокатки,79267767135,143000
Леметиния Солохина,32,5,2,Закройщик,73505271860,124000
Айвор Сущихин,30,6,0,Инженер-технолог,73336729321,146000
Феонила Тринога,75,2,4,Курьер,73847520058,117000
Катюшечка Каумова,88,8,5,Дегустатор,73666917744,149000
Сулюкбай Сакунов,77,6,7,Космонавт,73946291531,118000
Нобуюки Смельцов,94,0,2,Диджей,75874578608,116000
Едеард Дуенин,87,6,2,Главный конструктор,78389628779,144000
Анфион Сачук,98,0,4,Дегустатор,73765550776,129000
Рух Сеных,31,5,1,Станочник широкого профиля,71331728885,137000
Фросиния Сподобина,76,2,3,Сантехник,76562164465,110000
Клеруца Ахвердьева,51,2,1,Менеджер по PR,76430603435,112000
Динариса Марковчина,91,1,3,Главный конструктор,72640297804,129000
Санкт Смаглий,65,6,0,Реставратор,73059972409,118000
Айём Буков,18,5,5,Месильщик,73168842108,149000
Анзур Леонков,95,5,7,Дегустатор,77292920489,143000
Джералд Лисит,23,6,2,Танцор балета,71523386880,104000
Чинара Бумбеева,86,5,5,Вальцовщик стана горячей прокатки,74946286601,116000
Евдокина Пиндулина,22,5,7,Web-дизайнер,75226253981,135000
Ефрий Хвощев,82,0,5,Пастух,76335996870,147000
Амиранда Мошенина,89,3,3,Стрелочник,75573708724,139000
Саулебек Каптелин,36,3,1,Микробиолог,78653606871,135000
Атакиши Столбенников,86,5,4,Бондарь,75680689016,109000
Иустельян Симдянкин,37,9,2,Эндокринолог (специалист по гормонам),72694197712,129000
Мугафат Сайдаков,84,9,2,Стрелочник,72243798290,143000
Андрюшка Сосая,51,2,2,Зоолог,79378499215,103000
Амиркан Дурныкин,40,6,1,Тракторист,73524233768,108000
Гальнура Гдалина,73,6,0,Налоговый инспектор,77839585258,148000
Суайбат Лютков,64,5,0,Швея,76187403037,106000
Бессарион Бороздин,77,7,5,Судебный пристав,72214817486,134000
Адасий Каняшин,21,7,1,Охранник,77203313330,107000
Магомедхан Нижевигр,41,0,2,Судебный пристав,78653606878,108000
Рипа Ларионцева,65,9,7,Рихтовщик,73946291526,146000
