Name,Age,Education,Children,Profession,Phone,Amount,Return credit
Давиан Альникин,54,5,5,Станочник широкого профиля,77423353850,122000,1
Рамиш Маурцев,22,9,4,Садовник,75787480602,116000,0
Фатиха Святная,50,5,1,Драпировщик,79216079648,146000,1
Диаелза Башмура,21,5,5,Консультант телефона доверия,76992483270,145000,1
Кардия Стойкова,91,5,7,Бизнес-аналитик,72483054997,136000,0
Мелод Дреничев,19,6,2,Часовщик,74032512806,131000,0
Евстония Нургалиева,26,9,3,Инженер-конструктор,79034172597,125000,0
Ксения Козюра,86,7,0,Пекарь,79024455452,113000,0
Кэвэн Маилков,57,2,1,Шеф-повар,72388799606,149000,1
Илида Дудолидова,38,7,2,Геолог,74152149914,123000,0
Гостомысл Дарумов,31,3,4,Дегустатор,77753604103,110000,0
Теодозия Колитова,24,6,5,Анестезиолог,79730059076,128000,1
Кабус Марговский,44,8,2,Зубной техник,72127920292,105000,0
Родварк Каплан-Ланский,89,2,3,Часовщик,72588740672,128000,0
Чингис Авзалетдинов,66,3,5,Биохимик,73776232484,148000,1
Мусаллях Элемент,78,6,6,Кинорежиссер,71909751574,136000,1
Адинела Бондешова,30,6,7,Генеральный секретарь,75069996097,115000,1
Арши Стригачев,71,5,0,Месильщик,72904672337,103000,0
Хакман Лажечников,24,4,3,Банкир,73497852115,139000,0
Евгения Лопатова,68,0,6,Ремонтник,76509940748,125000,0
Гульзиган Салманский,76,9,0,Оператор кино и телевидения,76446071622,132000,0
Гулбагда Потопольская,37,1,0,Охотник,79024455451,138000,0
Кремлина Аникимова,69,6,7,Фельдшер,74123640514,103000,0
Зоровавель Идоятов,75,0,7,Архивариус,74387303136,111000,0
Ахкямитдин Адесман,57,1,7,Специалист по ВЭД,74967691029,101000,0
Солон Цюпко,61,4,3,Стрелочник,79038394169,148000,1
Русин Гордей,97,0,5,Зоолог,71767012364,123000,0
Това Туболкина,53,8,0,Повар,73497852114,100000,0
Бутч Гамируллин,26,2,4,Химик-технолог,78125036275,138000,1
Искендар Дугарев,77,6,7,Бизнес-аналитик,76479958129,134000,0
Валита Кубышева,80,0,7,Иллюстратор,71106131788,126000,0
Ахит Хрустовский,56,0,0,Курьер,78799593112,126000,0
Агипа Сучкова-Пилецкая,75,9,0,Финансист,74802466939,145000,0
Гельфания Манаева,29,4,5,Типограф,76178551955,140000,1
Корби Кодянов,83,8,4,Парикмахер,72716496609,103000,1
Кэтрина Зельницкая,98,3,7,Риелтор,73015613422,124000,0
Токмак Голубцов,94,3,7,Администратор гостиницы,78230778057,123000,0
Калей Панурин,24,1,0,Физик,78998261430,123000,0
Бивис Маймистов,63,2,7,Референт,74267350304,105000,0
Абдилсамед Брасов,32,3,1,Наладчик,77152904900,143000,0
Шамсуна Хаббанова,78,9,0,Реабилитолог,77473705521,128000,0
Милад Суходуб,22,5,0,Специалист по стрижке овец,76094377921,101000,0
Алтинай Федорченко,62,4,3,Бизнес-консультант,75221516802,113000,0
Алиаббас Железницких,87,2,4,Архитектор,75348041913,141000,0
Георгиадис Лебелев,29,9,5,Скотник,71271271430,104000,0
Флуса Матунова,83,5,0,Банкир,73792954130,113000,1
Аршавил Постовцев,39,7,2,Тестировщик,72051610249,135000,0
Роберто Кувшинчиков,71,0,5,Социолог,72126115137,133000,0
Улы Полохов,87,9,3,Летчик,73494281872,111000,0
Герас Маханенко,25,2,3,Шлифовщик,79812171956,136000,0
Атобак Мараев,43,7,7,Оториноларинголог (ЛОР),77031027912,136000,1
Алесия Айнулина,76,3,7,Геоэколог,73133844777,104000,0
Сабыржан Чертовский,38,4,6,Бизнес-аналитик,74941847995,138000,1
Талмас Любавкин,62,2,2,Промоутер,72855283557,146000,0
Гранж Салтосецкий,84,5,1,Религиовед,76628384650,125000,0
Ханзада Лотынина,30,4,1,Детектив,75613282455,120000,0
Нукри Таличенков,26,2,7,Бортмеханик,74052456500,104000,0
Зулихан Жуняк,19,3,1,Учитель,78076773706,129000,0
Очкын Душкин,40,5,3,Страховой агент,75232413343,126000,1
